burgerme;Amerikanisch;Bucher Strasse 35 Nuernberg 90419;Cheese Burger,8.49,8.50,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Sueßkartoffel Pommes,4.69,6.20,Ketchup/Mayonnaise/Vegane Mayonnaise;Hamburger,7.49,8.20,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Tripple Cheese Burger,9.49,9.50,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;New Yorker Burger,7.49,9.50,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Bacon Eggs Burger,9.49,9.50,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Crunchy ChickenBurger,8.49,7.40,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Grilled Chicken Burger,9.49,11.30,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Crusty Chicken Burger,7.49,8.50,Mayonnaise/Tabasco/Ketchup/Burgersauce/Senf;Pommes,3.69,6.50,Ketchup/Mayonnaise/Vegane Mayonnaise;Chicken Wings,6.49,8.20,Ketchup/Mayonnaise/Vegane Mayonnaise;Chicken Nuggets,6.49,6.50,Ketchup/Mayonnaise/Vegane Mayonnaise;Chicken Fingers,6.49,7.50,Ketchup/Mayonnaise/Vegane Mayonnaise;Chili-Cheese Nuggets,6.49,8.20,Ketchup/Mayonnaise/Vegane Mayonnaise
Vuong - Citywok;Asiatisch;Rothenburger Strasse 65 Nuernberg 90443 ;Fruehlingsrolle,2.50,4.10,Hackfleisch/Gemuese;Wan-Tan Suppe,3.00,5.20,Soja/Hackfleisch;Gemischter Salat,4.50,6.10,Joghurt-Dressing/Balsamico-Dressing;Huehnerfleischsalat,5.50,7.30,Huehnerfleisch/Joghurt-Dressing;Spinat Maki Sushi,4.20,3.40,Spinat/Sesam;Kappa Mak iSushi,3.60,3.50,Sesam/Gurken;Gebratener Reismit Huehnerfleisch,7.90,11.30,Reis/Huehnerfleisch/Gemuese;Gebratener Reis mit Rindfleisch,7.90,10.50,Rinderfleisch/Gemuese/Reis;Gebratener Reis mit knusprigen Entenfleisch,13.00,5.00,Entenfleisch/Gemuese/Reis;Gebratene Nudeln mit knusprigen Entenfleisch,10.50,13.20,Ente/Nudeln/Gemuese;Nudeln mit Rinderfleisch,11.50,11.20,Rinderfleisch/Nudeln/Gemuese;knuspriges Haehnchen,8.90,9.20,Suess-Sauer-Sosse/Haehnchen;paniertes Haehnchen Knoblauch,8.90,10.50,Suess-Sauer-Sosse/Scharfer-Sosse/Haehnchen;Gebratener Tintenfisch,13.50,11.20,Gemuese/Sichuansauce
Pizza Cappucino;Italienisch;Rollnerstrasse 182 Nuernberg 90425;Salat Cappucino,10.00,4.40,Joghurt-Dressing/Olivenoel-Balsamico-Dressing/Olivenoel-Essig-Dressing;Rucola Salat mit Kirschtomaten,9.90,5.20,Joghurt-Dressing/Olivenoel-Balsamico-Dressing/Olivenoel-Essig-Dressing;Italienischer Salat,8.50,5.30,Joghurt-Dressing/Olivenoel-Balsamico-Dressing/Olivenoel-Essig-Dressing;Hähnchen Salat,9.90,6.20,Joghurt-Dressing/Olivenoel-Balsamico-Dressing/Olivenoel-Essig-Dressing;Pizza Margherita,7.00,10.50,Ananas/Broccoli/Fetakäse;Pizza Formaggio,8.00,10.40,Ananas/Broccoli/Fetakäse;Pizza Salami,8.00,11.20,Ananas/Broccoli/Fetakäse;Pizza Spezial,8.50,12.50,Ananas/Broccoli/Fetakäse;Pizza Hawaii,8.50,10.50,Ananas/Broccoli/Fetakäse;Spaghetti Bolognese,9.90,8.20,Parmesan;Pasta Chicken,9.90,9.30,Parmesan;Pasta Parmaschinken,10.90,10.40,Parmesan;Pasta Aioli,8.90,8.40,Parmesan;Pasta Tortellini,9.90,10.20,Parmesan
Panjabi Shaan;Indisch;Bayreuther Strasse 36 Nuernberg 90489 ;Linsenfladen,3.00,2.20,Linsen/Olivenoel;Zwiebelringe,5.50,4.50,Zwiebeln/Kichererbsenmehl;Linsensuppe,4.00,5.30,Koriander/Linsen;Huehnerfleisch Kurkuma Suppe,4.50,6.30,Kurkuma/Huehnerfleisch;gemischter Salat,4.90,6.20,Joghurt-Dressing/Olivenoel;Salat mit gerillten Haehnchenbrustfilet,9.90,9.40,Haehnchenfleisch/Joghurt-Dressin/Naanbrot;Curry mit Haehnchenbrustfillet,13.50,14.20,Haehnchenfleisch/Curry/Cashew-Kokos-Sahnesauce;Curry mit Entenfleisch,15.50,16.20,Entenfleisch/Curry/Gemuese;Rogan Curry,14.50,13.30,Lammfilet/Curry;Seelachsfilet mit Tomatensosse,14.90,12.40,Tomatensosse/Lachsfilet/Ingwer;Seelachfilet mit Mangososse,14.90,14.20,Mangososse/Lachsfilet;Reis mit Huehnchenfleisch,12.90,13.90,Curry/Huehnchenfleisch/Reis;Hefeteigbrot,2.50,4.50,Salz/Olivenoel/Origano;Hefeteigbro mit frischer Ingwer,3.50,5.20,Ingwer/Brot/Butter
Asia Imbiss MEI-KA;Asiatisch;Faerberstrasse 50 Nuernberg 90402;Knusprige Ente,13.00,8.40,Reis/Nudeln;Gebratene Nudeln mit Huehnerfleisch, 10.00,6.20, Reis/Huehnerfleisch;Suppe,4.50,2.20, Gemuese/Reis;Maissuppe,4.50,2.30,Mais/Reis;Seetang-Eier-Suppe,4.50,3.10;Vegetarische Mini-Fruehlingsrollen, 3.20,2.00;Haehnchenfleischsuppe,5.50,4.10, Champignons, Tomaten;Schweinefleisch,13.00,6.10, Ingwer/Fruehlingslauch/Gemuese;Gebratener Tofu,13.00,5.00, Schweinefleisch/Gemuese/Reis;Hausgemachter chinesischer Speck,14.00,5.50,Reis/Gemuese;Schweinerippchen,14.00,7.00, Sichuan-Pfeffer/Reis;Rindfleisch,14.00,8.00, schwarzer Pfeffer/Chili/Reis;Gebratene Hummerkrabben,17.00,9.00,Gemuese/Reis;Gebratener Tintenfisch,15.00,9.00,Gemuese/Sichuansauce
Hamans Kebab;Türkisch;Bucher Strasse 82 Nuernberg 90408 ;Kebab Beef,4.50,5.20,Rindfleisch/Joghurt-Sosse;Kebab Chicken,4.60,5.20,Huehnchenfleisch/Joghurt-Sosse;Kebab Chicken Box,5.20,5.50,Chicken/Joghurt-Sosse;Kebab Beef Box,5.20,4.20,Joghurt-Sosse/Rindfleisch;Köfte,3.40,4.20,Joghurt-Sosse/Erbsen-Suppe;Pommes,3.40,5.20,Ketchup/Mayonnaise/Senf;Chicken Sandwich,5.20,4.20,Huehnchen/Ketchup/Mayonnaise;Chicken Teller,11.20,14.20,Burger-Sosse/Ketchup/Huehnchen;Köfte Wrap,6.20,4.50,Köfte/Joghurt-Sosse;Doenner,5.50,6.00,Joghurt-Sosse/Mayonnaise/Ketchup;Falafel,3.00,2.30,Bohnen/Erbsen;Falafel Sandwich,3.50,3.40,Bohnen/Erbsen/Joghurt-Sosse;Reis,2.50,3.20,Salz/Pfeffer;Hummius,3.00,2.30,Bro/Bohnen
